1, Mar-16 11_24_00, pulse: 100mcs, freq: 15Hz, duration: 250ms , picture: 0
28, Skipped Mar-16 11_34_42, pulse: 200mcs, freq: 8Hz, duration: 50ms , picture: no
29, Mar-16 11_35_00, pulse: 50mcs, freq: 50Hz, duration: 50ms , picture: 24
30, Mar-16 11_35_20, pulse: 400mcs, freq: 95Hz, duration: 250ms , picture: 25
31, Mar-16 11_35_40, pulse: 100mcs, freq: 30Hz, duration: 500ms , picture: 26
32, Mar-16 11_35_53, pulse: 100mcs, freq: 50Hz, duration: 50ms , picture: 27
33, Mar-16 11_36_04, pulse: 200mcs, freq: 50Hz, duration: 500ms , picture: 28
34, Mar-16 11_36_23, pulse: 50mcs, freq: 30Hz, duration: 250ms , picture: 29
35, Mar-16 11_36_33, pulse: 200mcs, freq: 95Hz, duration: 250ms , picture: 30
36, Mar-16 11_36_50, pulse: 400mcs, freq: 15Hz, duration: 250ms , picture: 31
37, Skipped Mar-16 11_36_50, pulse: 50mcs, freq: 15Hz, duration: 50ms , picture: no
38, Mar-16 11_37_10, pulse: 200mcs, freq: 30Hz, duration: 250ms , picture: 32
39, Skipped Mar-16 11_37_10, pulse: 100mcs, freq: 15Hz, duration: 50ms , picture: no
40, Mar-16 11_37_47, pulse: 100mcs, freq: 95Hz, duration: 50ms , picture: 33
41, Mar-16 11_38_14, pulse: 200mcs, freq: 15Hz, duration: 500ms , picture: 34
42, Mar-16 11_38_30, pulse: 400mcs, freq: 8Hz, duration: 500ms , picture: 35
43, Skipped Mar-16 11_38_30, pulse: 400mcs, freq: 8Hz, duration: 50ms , picture: no
44, Mar-16 11_38_55, pulse: 50mcs, freq: 30Hz, duration: 50ms , picture: 36
45, Mar-16 11_39_06, pulse: 100mcs, freq: 95Hz, duration: 500ms , picture: 37
46, Mar-16 11_39_16, pulse: 50mcs, freq: 95Hz, duration: 250ms , picture: 38
47, Mar-16 11_39_28, pulse: 100mcs, freq: 50Hz, duration: 500ms , picture: 39
48, Mar-16 11_39_39, pulse: 100mcs, freq: 30Hz, duration: 50ms , picture: 40
49, Mar-16 11_39_50, pulse: 50mcs, freq: 15Hz, duration: 250ms , picture: 41
50, Mar-16 11_40_02, pulse: 50mcs, freq: 95Hz, duration: 500ms , picture: 42
51, Mar-16 11_40_13, pulse: 100mcs, freq: 50Hz, duration: 250ms , picture: 43
52, Mar-16 11_40_25, pulse: 100mcs, freq: 30Hz, duration: 250ms , picture: 44
53, Mar-16 11_40_47, pulse: 50mcs, freq: 50Hz, duration: 250ms , picture: 45
54, Mar-16 11_40_57, pulse: 100mcs, freq: 8Hz, duration: 500ms , picture: 46
55, Mar-16 11_41_07, pulse: 100mcs, freq: 15Hz, duration: 500ms , picture: 47
56, Mar-16 11_41_17, pulse: 50mcs, freq: 8Hz, duration: 500ms , picture: 48
57, Mar-16 11_41_28, pulse: 50mcs, freq: 30Hz, duration: 500ms , picture: 49
58, Skipped Mar-16 11_41_29, pulse: 50mcs, freq: 8Hz, duration: 50ms , picture: no
59, Mar-16 11_41_42, pulse: 100mcs, freq: 95Hz, duration: 250ms , picture: 50
60, Mar-16 11_42_01, pulse: 50mcs, freq: 95Hz, duration: 50ms , picture: 51
